caseid,age,sex,marry,job_satisfaction,income,school,satisfaction_balance,satisfaction_familytime,outdoor_activity,discrimination,competition,match_JobandEducation,weeks_employed
83,45 to 54 years,Female,1,0,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,Yes,1,0,52
85,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,26
92,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,44
93,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,1,52
94,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,0,No,0,1,28
95,55 to 64 years,Male,1,1,"Less than 50,000",0,1,"NA",1,No,0,1,32
96,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
100,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,1,1,52
101,55 to 64 years,Male,1,1,"More than 100,000",0,1,Very satisfied,1,No,0,1,38
102,25 to 34 years,Male,0,1,"Less than 50,000",0,1,Satisfied,1,Yes,1,0,40
103,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,1,52
107,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
108,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,52
113,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,1,1,38
114,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,0,Very satisfied,1,No,0,1,52
119,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
121,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
122,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
126,45 to 54 years,Male,1,0,"Between 50,000 to 100,000",0,0,Satisfied,1,No,1,0,52
127,55 to 64 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
128,45 to 54 years,Male,0,1,"More than 100,000",0,1,"NA",1,No,0,1,52
132,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Very satisfied,1,No,0,1,52
134,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,1,1,52
136,35 to 44 years,Female,0,1,"More than 100,000",0,1,"NA",1,No,0,0,52
139,35 to 44 years,Male,1,1,"Less than 50,000",0,0,Satisfied,1,No,1,1,52
140,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,52
142,15 to 24 years,Male,0,0,"Less than 50,000",1,1,Dissatisfied,1,No,0,1,18
144,25 to 34 years,Female,0,1,"Less than 50,000",0,1,"NA",1,Yes,0,0,17
147,35 to 44 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
149,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,"NA",0,No,0,1,52
152,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
157,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
162,35 to 44 years,Female,1,1,"More than 100,000",0,1,Satisfied,0,No,1,1,52
163,15 to 24 years,Male,0,1,"Less than 50,000",0,1,Satisfied,0,No,1,1,52
164,25 to 34 years,Male,1,0,"Less than 50,000",0,0,Very satisfied,1,No,0,0,52
165,15 to 24 years,Female,0,0,"Less than 50,000",0,1,Very satisfied,1,No,0,0,40
167,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
169,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,40
171,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
178,25 to 34 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
181,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
182,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
184,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
187,65 to 74 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,1,52
191,65 to 74 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",0,No,1,1,52
196,35 to 44 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
200,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
201,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
203,35 to 44 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
204,55 to 64 years,Male,1,1,"More than 100,000",0,1,Very satisfied,1,No,0,1,52
205,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
206,35 to 44 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
209,25 to 34 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
214,55 to 64 years,Male,0,1,"More than 100,000",0,0,Satisfied,0,No,0,1,52
217,65 to 74 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,20
219,55 to 64 years,Female,1,1,"More than 100,000",0,0,Satisfied,1,Yes,0,1,52
220,65 to 74 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,8
229,35 to 44 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
230,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,1,1,52
231,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
232,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
235,35 to 44 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
236,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
237,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
239,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
248,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,1,1,52
254,65 to 74 years,Male,0,1,"More than 100,000",0,1,"NA",1,No,0,1,52
255,45 to 54 years,Male,0,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
256,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,52
257,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
259,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
262,55 to 64 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
265,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
267,25 to 34 years,Male,0,0,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
269,65 to 74 years,Female,0,1,"More than 100,000",0,1,"NA",1,No,0,1,52
270,45 to 54 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,0,52
271,35 to 44 years,Female,0,1,"More than 100,000",0,0,Dissatisfied,1,No,1,0,52
272,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Satisfied,0,No,1,1,52
275,15 to 24 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
280,45 to 54 years,Female,0,0,"Less than 50,000",0,0,"NA",1,No,0,1,52
283,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,52
284,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
290,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,1,1,12
291,45 to 54 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,Yes,1,1,52
298,45 to 54 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,51
299,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Dissatisfied,1,No,0,0,8
301,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",1,1,"NA",1,No,1,1,52
305,45 to 54 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
309,55 to 64 years,Male,1,1,"More than 100,000",0,1,Very satisfied,1,No,0,1,52
310,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
312,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
313,35 to 44 years,Female,0,1,"Less than 50,000",0,0,"NA",1,No,1,1,52
315,25 to 34 years,Male,0,0,"Between 50,000 to 100,000",0,0,Satisfied,0,No,1,0,52
322,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
326,15 to 24 years,Female,0,0,"Less than 50,000",1,1,Satisfied,1,Yes,1,0,52
327,45 to 54 years,Female,1,1,"More than 100,000",0,1,Very satisfied,1,No,0,1,52
328,25 to 34 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
334,35 to 44 years,Male,0,0,"Less than 50,000",0,0,"NA",0,Yes,0,1,52
337,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
338,35 to 44 years,Female,1,0,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,0,52
340,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
344,65 to 74 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,0,52
345,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,0,No,0,1,52
346,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,Yes,1,1,52
348,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Satisfied,1,No,0,1,52
352,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,0,52
356,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,0,52
358,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,Very dissatisfied,1,No,0,1,52
360,55 to 64 years,Female,1,0,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
361,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,1,1,52
363,15 to 24 years,Male,0,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,13
368,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
369,35 to 44 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,1,1,20
371,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,0,52
373,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
379,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,0,52
381,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
383,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,25
385,35 to 44 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,1,1,52
387,15 to 24 years,Female,0,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,0,1,52
389,25 to 34 years,Female,0,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
391,45 to 54 years,Male,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,44
392,15 to 24 years,Male,0,1,"Less than 50,000",1,1,Very satisfied,1,No,0,0,17
394,15 to 24 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,52
401,45 to 54 years,Male,1,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,0,1,52
402,15 to 24 years,Female,0,1,"Less than 50,000",0,0,Satisfied,1,Yes,0,0,52
403,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,1,1,52
404,45 to 54 years,Male,0,0,"More than 100,000",0,1,"NA",1,No,0,1,52
406,45 to 54 years,Male,1,1,"More than 100,000",0,0,Satisfied,1,No,1,1,52
408,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
409,35 to 44 years,Female,0,0,"Less than 50,000",1,0,"NA",0,No,0,0,50
417,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
420,35 to 44 years,Male,1,1,"More than 100,000",0,1,Dissatisfied,1,No,1,1,52
422,45 to 54 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
423,45 to 54 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
425,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,0,No,0,0,52
429,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,0,48
432,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
433,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,1,1,52
434,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,Yes,0,1,48
439,55 to 64 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,36
442,25 to 34 years,Female,0,1,"Less than 50,000",0,1,Very satisfied,1,No,1,1,52
444,45 to 54 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
445,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,1,1,52
447,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,0,No,1,1,52
449,65 to 74 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,28
451,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
456,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
460,55 to 64 years,Male,1,1,"More than 100,000",0,1,Satisfied,0,No,0,1,52
462,45 to 54 years,Female,1,1,"Less than 50,000",0,0,Dissatisfied,1,No,0,0,48
469,35 to 44 years,Female,0,1,"More than 100,000",0,0,"NA",1,Yes,1,0,52
472,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,0,52
478,45 to 54 years,Male,0,1,"Less than 50,000",0,1,Satisfied,0,No,0,0,50
479,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
480,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,1,No,0,1,16
481,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
482,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,Yes,0,1,52
484,35 to 44 years,Male,1,1,"Less than 50,000",1,1,Satisfied,1,Yes,0,1,52
485,25 to 34 years,Female,0,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,0,No,1,0,52
488,15 to 24 years,Male,0,1,"Less than 50,000",1,1,Satisfied,1,No,1,0,52
494,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,1,1,52
495,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,1,1,52
496,25 to 34 years,Male,0,1,"Less than 50,000",1,1,Very satisfied,0,No,0,1,52
497,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,0,52
502,55 to 64 years,Male,1,1,"More than 100,000",0,0,Satisfied,1,No,0,1,52
503,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
504,35 to 44 years,Male,0,0,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,1,52
507,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,52
510,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,0,1,52
515,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
517,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
522,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
524,15 to 24 years,Male,0,1,"Less than 50,000",0,1,Satisfied,1,No,1,0,52
526,35 to 44 years,Female,0,0,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,Yes,0,0,52
529,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
533,55 to 64 years,Male,0,1,"More than 100,000",0,1,"NA",0,No,0,1,52
534,55 to 64 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
539,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,36
541,35 to 44 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,0,52
542,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,52
543,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,52
546,45 to 54 years,Male,1,1,"More than 100,000",0,1,"NA",1,No,0,1,52
554,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,0,20
556,65 to 74 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
558,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
559,15 to 24 years,Male,0,1,"Less than 50,000",0,0,Dissatisfied,1,Yes,1,0,40
560,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
561,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
564,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,1,52
568,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
569,45 to 54 years,Male,1,1,"More than 100,000",0,1,Very satisfied,1,No,0,1,52
572,55 to 64 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,1,1,52
574,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,1,1,52
575,45 to 54 years,Male,0,0,"Less than 50,000",1,0,"NA",1,Yes,1,1,52
576,45 to 54 years,Female,0,1,"Less than 50,000",0,1,Satisfied,1,Yes,1,1,52
580,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,Yes,0,1,52
582,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,0,1,52
584,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,38
585,65 to 74 years,Male,1,1,"Less than 50,000",0,1,"NA",1,No,0,1,50
590,35 to 44 years,Female,0,0,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
591,35 to 44 years,Female,0,1,"Less than 50,000",0,0,"NA",1,No,1,1,52
593,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,0,48
597,25 to 34 years,Male,1,1,"Between 50,000 to 100,000",0,1,Dissatisfied,0,No,1,1,52
605,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,1,1,52
609,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,1,"NA",1,Yes,1,0,52
611,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
612,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,0,52
615,45 to 54 years,Female,0,1,"Less than 50,000",0,1,"NA",1,Yes,0,1,52
616,65 to 74 years,Female,0,1,"Less than 50,000",0,1,"NA",0,No,0,1,22
618,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
619,25 to 34 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
620,15 to 24 years,Female,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
621,55 to 64 years,Male,1,0,"Between 50,000 to 100,000",0,1,"NA",1,No,0,0,52
622,15 to 24 years,Female,0,1,"Less than 50,000",1,1,Very satisfied,0,No,0,1,52
624,55 to 64 years,Female,1,1,"More than 100,000",0,1,Satisfied,1,No,1,0,52
635,55 to 64 years,Male,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
642,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,0,52
643,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
646,35 to 44 years,Female,1,1,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
647,15 to 24 years,Male,1,1,"Less than 50,000",0,1,Very satisfied,1,No,1,0,48
650,45 to 54 years,Male,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,32
651,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,1,1,52
652,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,0,No,0,1,52
653,45 to 54 years,Female,0,0,"Less than 50,000",0,0,"NA",1,No,1,1,52
666,35 to 44 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
669,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
677,45 to 54 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,Yes,0,0,52
679,15 to 24 years,Female,0,0,"Less than 50,000",1,1,"NA",0,No,1,1,45
681,25 to 34 years,Female,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
688,15 to 24 years,Male,0,1,"Less than 50,000",1,1,Satisfied,0,No,0,0,16
690,15 to 24 years,Female,0,1,"Less than 50,000",0,1,Satisfied,1,No,0,0,52
693,55 to 64 years,Male,0,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
696,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,0,No,1,1,52
697,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
699,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
704,35 to 44 years,Male,0,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,26
705,55 to 64 years,Female,1,1,"Less than 50,000",0,0,Very satisfied,1,No,1,1,52
707,45 to 54 years,Male,1,1,"More than 100,000",0,0,Very satisfied,1,No,0,1,52
710,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,0,42
711,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,0,1,52
712,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,Yes,0,1,52
715,25 to 34 years,Male,0,1,"Less than 50,000",0,1,Neither satisfied nor dissatisfied,0,No,1,1,12
717,35 to 44 years,Female,0,0,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
718,45 to 54 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
721,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,0,52
724,55 to 64 years,Female,1,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
726,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,1,52
728,25 to 34 years,Male,0,0,"Less than 50,000",0,0,Satisfied,1,No,0,0,52
729,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
730,35 to 44 years,Male,1,1,"Less than 50,000",0,1,Satisfied,1,Yes,0,1,52
731,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,Satisfied,0,Yes,1,1,52
738,55 to 64 years,Female,0,0,"Less than 50,000",0,0,Very dissatisfied,0,No,0,0,52
739,45 to 54 years,Female,1,1,"Between 50,000 to 100,000",0,0,Dissatisfied,1,No,0,1,52
748,35 to 44 years,Male,0,1,"Less than 50,000",0,1,"NA",1,No,0,1,52
751,25 to 34 years,Female,0,1,"Between 50,000 to 100,000",0,0,Very satisfied,1,No,0,1,52
